,Name,CurrentSalary,CurrentTeam
12,Mitchell Robinson,"$1,802,057",NYK
13,Miles McBride,"$925,258",NYK
14,Ryan Arcidiacono,"$586,136",NYK
18,Joakim Noah,"$6,431,666",NYK
19,Solomon Hill,"$2,389,641",NYK
20,Wayne Selden,"$785,102",NYK
0,Jamal Murray,"$31,590,000",DEN
1,Nikola Jokić,"$30,510,423",DEN
2,Aaron Gordon,"$16,409,091",DEN
3,Will Barton,"$15,384,615",DEN
4,Monte Morris,"$8,333,333",DEN
5,JaMychal Green,"$8,200,000",DEN
6,Michael Porter Jr.,"$5,258,735",DEN
7,Jeff Green,"$4,500,000",DEN
8,Facundo Campazzo,"$3,804,150",DEN
9,Zeke Nnaji,"$2,498,760",DEN
10,Austin Rivers,"$2,401,537",DEN
11,Bones Hyland,"$2,096,880",DEN
12,Vlatko Čančar,"$1,782,621",DEN
13,DeMarcus Cousins,"$683,196",DEN
0,James Harden,"$43,848,000",PHI
1,Tobias Harris,"$36,000,000",PHI
2,Joel Embiid,"$31,579,390",PHI
3,Danny Green,"$10,000,000",PHI
4,Furkan Korkmaz,"$4,629,630",PHI
5,Georges Niang,"$3,300,000",PHI
